id;template_version;template_data;template_data_content_type;original_image;original_image_content_type;original_image_mime;original_image_extension
1;parfois coac coac reconnaître;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;triste pressentir;dynamique bouger après
2;simple de peur que lorsque;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;vouh;biathlète aïe en dehors de
3;recueillir épargner;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;bè population du Québec;évoluer diététiste
4;disposer complètement avare;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;biathlète;dense pschitt à côté de
5;brusque cadre;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;afin que croâ;à bas de dès
6;smack fonctionnaire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mince brusque étant donné que;ouin
7;que quand;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;rédaction;apte
8;sans que vers;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;devant terne bang;dynamique splendide au-dedans de
9;équipe conseil d’administration aussitôt que;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;tant que;jamais chez
10;fonctionnaire tisser;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;parce que guider;ouille orange beaucoup
